Spezia U19	Ascoli U19
Tanzania Prisons	Namungo
KCB	Nzoia United
Bidco United	Shabana
Enosis	MEAP Nisou
Shabab Al Ahli U21	Al Sharjah U21
Khor Fakkan U21	Al Ain U21
Ma'an	Al Ahli
ES Sétif U21	MC Oran U21
Novi Pazar	Spartak Subotica
Samsunspor	Konyaspor
Rizespor	Pendikspor
Şanlıurfaspor	Çorum Belediyespor
Al Khaleej	Al Feiha
Dhamk	Al Tai
Remo Stars	Lobi Stars
Hermannstadt	Sepsi
Al Ramtha	Al Jalil
Isa Town	Al Budaiya
Al Reef	Malkiya
Radnički Niš	Železničar Pančevo
Kagera Sugar	Azam
NEC	Express FC
Al Sadd	Umm Salal
Othellos	Ethnikos Achna
Beşiktaş	Alanyaspor
Hapoel Petach Tikva W	Kiryat Gat W
Real Betis	Girona
Torreense	Vilaverdense
Kifisia	PAOK
Al Hilal	Abha
Derby County	Lincoln City
Gent	OH Leuven
Crystal Palace	Brighton & Hove Albion
Lincoln Red Imps	St Josephs FC
Mallorca	Osasuna
Olimpia	Motagua
PSV	Twente
CFR Cluj	Universitatea Cluj
Vitesse	SC Heerenveen
Katwijk	Almere City
Go Ahead Eagles	De Treffers
Parma U19	Como U19
Maccabi Yavne	Agudat Sport Nordia
Bordeaux U19	Stade Rennes U19
Brann W	Lyon W
Al Riffa	Al Shabbab
Brisbane Roar	Central Coast Mariners
CR Belouizdad U21	CS Constantine U21
Villarreal II	Real Oviedo
Deportivo Alavés	Real Madrid
Benfica	AVS
FC Barcelona	América
Lahti	JäPS
